command_file,module_id,drift_score,cmd_steps,slide_steps,cmd_only_urls,slide_only_urls,cmd_only_installs,slide_only_installs,cmd_only_cmds,slide_only_cmds,cmd_only_paths,slide_only_paths,note
commands/lesson/start-0-4.md,module-0,31,0,0,https://ai-agent.camp/ja/course/module-0 | https://api.slack.com/apps | https://slack.com/create,http://www.w3.org/2000/svg | https://brew.sh | https://chatgpt.com/download | https://claude.ai/download | https://console.anthropic.com/ | https://cursor.com | https://github.com/ | https://github.com/login/device | https://github.com/minicoohei/ai-agent-camp.git | https://github.com/nextlevelbuilder/ui-ux-pro-max-skill | https://learn.microsoft.com/en-us/windows/wsl/install | https://learn.microsoft.com/en-us/windows/wsl/install-manual | https://learn.microsoft.com/es-es/windows/wsl/install | https://learn.microsoft.com/es-es/windows/wsl/install-manual | https://learn.microsoft.com/ja-jp/windows/wsl/install | https://learn.microsoft.com/ja-jp/windows/wsl/install-manual | https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh | https://www.cursor.com/,,,,git clone */} | git clone --depth=1 | git clone --recurse-submodules | git clone and | git clone for | git clone por | git clone y | git clone →,tools/setup_progress.py,tools/content_updater.py,
commands/lesson/start-0-6.md,module-0,31,5,0,https://ai-agent.camp/ja/course/module-0 | https://docs.npmjs.com/resolving-eacces-permissions-errors-when-installing-packages-globally,http://www.w3.org/2000/svg | https://brew.sh | https://chatgpt.com/download | https://claude.ai/download | https://console.anthropic.com/ | https://cursor.com | https://github.com/ | https://github.com/login/device | https://github.com/minicoohei/ai-agent-camp.git | https://github.com/nextlevelbuilder/ui-ux-pro-max-skill | https://learn.microsoft.com/en-us/windows/wsl/install | https://learn.microsoft.com/en-us/windows/wsl/install-manual | https://learn.microsoft.com/es-es/windows/wsl/install | https://learn.microsoft.com/es-es/windows/wsl/install-manual | https://learn.microsoft.com/ja-jp/windows/wsl/install | https://learn.microsoft.com/ja-jp/windows/wsl/install-manual | https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh | https://www.cursor.com/,npm install -g @openai/codex,,,git clone */} | git clone --depth=1 | git clone --recurse-submodules | git clone and | git clone for | git clone por | git clone y | git clone →,tools/setup_progress.py,tools/content_updater.py,
commands/lesson/start-0-7.md,module-0,31,6,0,https://ai-agent.camp/ja/course/module-0,http://www.w3.org/2000/svg | https://brew.sh | https://chatgpt.com/download | https://claude.ai/download | https://console.anthropic.com/ | https://cursor.com | https://github.com/ | https://github.com/login/device | https://github.com/minicoohei/ai-agent-camp.git | https://github.com/nextlevelbuilder/ui-ux-pro-max-skill | https://learn.microsoft.com/en-us/windows/wsl/install | https://learn.microsoft.com/en-us/windows/wsl/install-manual | https://learn.microsoft.com/es-es/windows/wsl/install | https://learn.microsoft.com/es-es/windows/wsl/install-manual | https://learn.microsoft.com/ja-jp/windows/wsl/install | https://learn.microsoft.com/ja-jp/windows/wsl/install-manual | https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh | https://www.cursor.com/,npm install -g @anthropic-ai/claude-code,,,git clone */} | git clone --depth=1 | git clone --recurse-submodules | git clone and | git clone for | git clone por | git clone y | git clone →,tools/setup_progress.py,tools/content_updater.py | tools/credential_manager.py,
commands/lesson/start-0-1.md,module-0,30,0,0,https://ai-agent.camp/ja/course/module-0,http://www.w3.org/2000/svg | https://brew.sh | https://chatgpt.com/download | https://claude.ai/download | https://console.anthropic.com/ | https://cursor.com | https://github.com/ | https://github.com/login/device | https://github.com/minicoohei/ai-agent-camp.git | https://github.com/nextlevelbuilder/ui-ux-pro-max-skill | https://learn.microsoft.com/en-us/windows/wsl/install | https://learn.microsoft.com/en-us/windows/wsl/install-manual | https://learn.microsoft.com/es-es/windows/wsl/install | https://learn.microsoft.com/es-es/windows/wsl/install-manual | https://learn.microsoft.com/ja-jp/windows/wsl/install | https://learn.microsoft.com/ja-jp/windows/wsl/install-manual | https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh | https://www.cursor.com/,,,,git clone */} | git clone --depth=1 | git clone --recurse-submodules | git clone and | git clone for | git clone por | git clone y | git clone →,tools/setup_progress.py,tools/content_updater.py | tools/credential_manager.py,
commands/lesson/start-0-2.md,module-0,30,0,0,https://ai-agent.camp/ja/course/module-0,http://www.w3.org/2000/svg | https://brew.sh | https://chatgpt.com/download | https://claude.ai/download | https://console.anthropic.com/ | https://cursor.com | https://github.com/ | https://github.com/login/device | https://github.com/minicoohei/ai-agent-camp.git | https://github.com/nextlevelbuilder/ui-ux-pro-max-skill | https://learn.microsoft.com/en-us/windows/wsl/install | https://learn.microsoft.com/en-us/windows/wsl/install-manual | https://learn.microsoft.com/es-es/windows/wsl/install | https://learn.microsoft.com/es-es/windows/wsl/install-manual | https://learn.microsoft.com/ja-jp/windows/wsl/install | https://learn.microsoft.com/ja-jp/windows/wsl/install-manual | https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh | https://www.cursor.com/,,,,git clone */} | git clone --depth=1 | git clone --recurse-submodules | git clone and | git clone for | git clone por | git clone y | git clone →,tools/setup_progress.py,tools/content_updater.py | tools/credential_manager.py,
commands/lesson/start-0-3.md,module-0,30,0,0,https://ai-agent.camp/ja/course/module-0,http://www.w3.org/2000/svg | https://brew.sh | https://chatgpt.com/download | https://claude.ai/download | https://console.anthropic.com/ | https://cursor.com | https://github.com/ | https://github.com/login/device | https://github.com/minicoohei/ai-agent-camp.git | https://github.com/nextlevelbuilder/ui-ux-pro-max-skill | https://learn.microsoft.com/en-us/windows/wsl/install | https://learn.microsoft.com/en-us/windows/wsl/install-manual | https://learn.microsoft.com/es-es/windows/wsl/install | https://learn.microsoft.com/es-es/windows/wsl/install-manual | https://learn.microsoft.com/ja-jp/windows/wsl/install | https://learn.microsoft.com/ja-jp/windows/wsl/install-manual | https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh | https://www.cursor.com/,,,,git clone */} | git clone --depth=1 | git clone --recurse-submodules | git clone and | git clone for | git clone por | git clone y | git clone →,tools/setup_progress.py,tools/content_updater.py | tools/credential_manager.py,
commands/lesson/start-0-5.md,module-0,30,0,0,https://ai-agent.camp/ja/course/module-0,http://www.w3.org/2000/svg | https://brew.sh | https://chatgpt.com/download | https://claude.ai/download | https://console.anthropic.com/ | https://cursor.com | https://github.com/ | https://github.com/login/device | https://github.com/minicoohei/ai-agent-camp.git | https://github.com/nextlevelbuilder/ui-ux-pro-max-skill | https://learn.microsoft.com/en-us/windows/wsl/install | https://learn.microsoft.com/en-us/windows/wsl/install-manual | https://learn.microsoft.com/es-es/windows/wsl/install | https://learn.microsoft.com/es-es/windows/wsl/install-manual | https://learn.microsoft.com/ja-jp/windows/wsl/install | https://learn.microsoft.com/ja-jp/windows/wsl/install-manual | https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh | https://www.cursor.com/,,,,git clone */} | git clone --depth=1 | git clone --recurse-submodules | git clone and | git clone for | git clone por | git clone y | git clone →,tools/setup_progress.py,tools/content_updater.py | tools/credential_manager.py,
commands/lesson/start-0-8.md,module-0,29,0,0,,http://www.w3.org/2000/svg | https://brew.sh | https://chatgpt.com/download | https://claude.ai/download | https://console.anthropic.com/ | https://cursor.com | https://github.com/ | https://github.com/login/device | https://github.com/minicoohei/ai-agent-camp.git | https://github.com/nextlevelbuilder/ui-ux-pro-max-skill | https://learn.microsoft.com/en-us/windows/wsl/install | https://learn.microsoft.com/en-us/windows/wsl/install-manual | https://learn.microsoft.com/es-es/windows/wsl/install | https://learn.microsoft.com/es-es/windows/wsl/install-manual | https://learn.microsoft.com/ja-jp/windows/wsl/install | https://learn.microsoft.com/ja-jp/windows/wsl/install-manual | https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh | https://www.cursor.com/,,,,git clone */} | git clone --depth=1 | git clone --recurse-submodules | git clone and | git clone for | git clone por | git clone y | git clone →,tools/setup_progress.py,tools/content_updater.py | tools/credential_manager.py,
commands/lesson/start-9-2.md,module-9,17,0,0,"https://ai-agent.camp/ja/course/module-9 | https://slack.com/api/auth.test | https://slack.com/api/conversations.history?channel=CHANNEL_ID&limit=10 | https://slack.com/api/conversations.history?channel=CHANNEL_ID&limit=30 | https://slack.com/api/conversations.history?channel=CHANNEL_ID&limit=5 | https://slack.com/api/conversations.history?channel=DM_CHANNEL_ID&limit=10 | https://slack.com/api/conversations.list?types=im&limit=10 | https://slack.com/api/conversations.list?types=public_channel&limit=10 | https://slack.com/api/conversations.list?types=public_channel,private_channel&limit=50 | https://slack.com/api/conversations.replies?channel=CHANNEL_ID&ts=THREAD_TS | https://slack.com/api/users.info?user=U0XXXXXXX",https://api.slack.com/apps | https://api.slack.com/changelog | https://docs.slack.dev/ai/slack-mcp-server/#oauth-scopes,,,,,data/slack_messages_latest.txt | tools/credential_manager.py,public/private,
commands/lesson/setup-bigquery.md,module-8,15,5,0,https://cloud.google.com/sdk/docs/install | https://console.cloud.google.com | https://console.cloud.google.com/apis/library/bigquery.googleapis.com | https://console.cloud.google.com/billing,https://cloud.google.com/bigquery/docs | https://docs.marimo.io/ | https://plotly.com/python/,,,gcloud auth application-default | gcloud auth login,gcloud auth and | gcloud auth y | gcloud auth でGCP認証を設定し、BigQueryの公開データセット（bigquery-public-data.samples）にSQLクエリを実行してレコード件数と先頭10行を確認。/start-8-2,tools/scripts/setup.sh | tools/setup_progress.py,reports/,
